_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price,image,image/_source,image/_title,image/_alt
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,4,final amazon,final amazon,4,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,HTC Desire 620G (Santroni White),12181.00,http://ecx.images-amazon.com/images/I/51vaoX9RZeL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,28,final amazon,final amazon,4,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,HTC Desire 620G (Santroni White),12181.00,http://ecx.images-amazon.com/images/I/51vaoX9RZeL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,52,final amazon,final amazon,4,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Microsoft Lumia 540 (Black 8GB),8479.00,http://ecx.images-amazon.com/images/I/51DOJaZeGuL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,76,final amazon,final amazon,4,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Karbonn Titanium Dazzle S201 (White),3999.00,http://ecx.images-amazon.com/images/I/415asFB6FPL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,100,final amazon,final amazon,4,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,AV Connect Car Stereo / Aux Cable / 3.5mm Male To Male Stereo Audio Cable (6.5 Feet) - Step Down Design for iPhone...,299.00,http://ecx.images-amazon.com/images/I/315pFBK3aLL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,5,final amazon,final amazon,5,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Coolpad Note 3 (White),9499.00,http://ecx.images-amazon.com/images/I/41mv0Uxo1iL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,29,final amazon,final amazon,5,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Coolpad Note 3 (White),9499.00,http://ecx.images-amazon.com/images/I/41mv0Uxo1iL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,53,final amazon,final amazon,5,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,SumacLife Compact Foldable Bluetooth Aluminum Extendable Selfie Stick & Bluetooth Camera Shutter Monopod Selfie...,1099.00,http://ecx.images-amazon.com/images/I/51L1gvdgklL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,77,final amazon,final amazon,5,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Doodle 4 Q391 (White),7676.00,http://ecx.images-amazon.com/images/I/51m9Taiwy0L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,101,final amazon,final amazon,5,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Apple Tree T11 Black Color Android Touch Screen Smart Phone 3.5 Inch Screen By Gadgetbucket,1999.00,http://ecx.images-amazon.com/images/I/31DCS4AhMGL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,6,final amazon,final amazon,6,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Juice 2 AQ5001 (Silver),6539.00,http://ecx.images-amazon.com/images/I/31n%2B9YEXxSL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,30,final amazon,final amazon,6,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Juice 2 AQ5001 (Silver),6539.00,http://ecx.images-amazon.com/images/I/31n%2B9YEXxSL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,54,final amazon,final amazon,6,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Popular Smartphone LED Flash & Fill-light 16 LED Flashlight for Selfie Shutter Sync Function - Black,347.00,http://ecx.images-amazon.com/images/I/21EmiQcaIQL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,78,final amazon,final amazon,6,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Intex Cloud X15+3G(White+Grey),2355.00,http://ecx.images-amazon.com/images/I/4101b5XhjPL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,102,final amazon,final amazon,6,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Knight 2 E471 (White-Silver),10999.00,http://ecx.images-amazon.com/images/I/41utzmcXJ9L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,7,final amazon,final amazon,7,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Bolt D320 (Black 4GB),3385.00,http://ecx.images-amazon.com/images/I/31rinDe0sFL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,31,final amazon,final amazon,7,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Bolt D320 (Black 4GB),3385.00,http://ecx.images-amazon.com/images/I/31rinDe0sFL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,55,final amazon,final amazon,7,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Kingston Digital MobileLite Wireless Flash Reader G2 for Smartphones and Tablets (MLWG2),2835.00,http://ecx.images-amazon.com/images/I/31vdQhwAxvL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,79,final amazon,final amazon,7,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Gadget Bucket's Universal Mobile Phone Analog 3D Video Folding Enlarged Screen Expander Stand for iPhone Samsung...,195.00,http://ecx.images-amazon.com/images/I/51Wsj2sk%2BSL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,103,final amazon,final amazon,7,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Nitro A311 (Blue 16GB),9400.00,http://ecx.images-amazon.com/images/I/41dgZaX5T7L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,8,final amazon,final amazon,8,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Noise U8 Bluetooth Smart Watch for Smartphones (Black)-(u8-smartwatch-1),1999.00,http://ecx.images-amazon.com/images/I/51xfXNKtXxL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,32,final amazon,final amazon,8,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Noise U8 Bluetooth Smart Watch for Smartphones (Black)-(u8-smartwatch-1),1999.00,http://ecx.images-amazon.com/images/I/51xfXNKtXxL._AA160_.jpg,,,Product Details
